Smiles,solvent,ppm_values
CC1(C)OC[C@@H]([C@H](CC(C2CO[C@@H]3OCO[C@H]23)C(C)(C)C(=O)[O-])[C@@H](NC(=O)c2ccccc2)B2OC(C)(C)C(C)(C)O2)O1,[2H]C(Cl)(Cl)Cl,17.5
BrCCCCB(C1CCCCC1)C1CCCCC1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],82.4
C[N+]1(C)[B-](C(F)(F)F)(C(F)(F)F)C1(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,-14.0
Brc1ccc(B(O[Si](c2ccccc2)(c2ccccc2)c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[2H]C(Cl)(Cl)Cl,27.4
C=CC(O)(B1OC(=O)CN(C)CC(=O)O1)c1ccc(OC)c(Br)c1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],9.96
CC1(C)OB(COc2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.44
CC#C[Si](C)(C)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.31
CC(C)c1ccc2ccccc2c1BN1C(C)(C)CCCC1(C)C,[2H]C(Cl)(Cl)Cl,42.0
Fc1ccc([B-]2(F)n3c(Cl)ccc3C(c3ccccc3)=C3C=CC(Cl)=[N+]32)cc1,[2H]C(Cl)(Cl)Cl,2.37
CC(C)(O)C[N+](C)(C)[BH2-]C#N,[2H]C(Cl)(Cl)Cl,-13.55
CC(C)(C)[Si](C)(C)Oc1ccc(B(O)O)cc1,[2H]C(Cl)(Cl)Cl,28.0
CC(C)N(B(I)I)C(C)C,[2H]C(Cl)(Cl)Cl,-1.0
COC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,[2H]C(Cl)(Cl)Cl,33.2
CC1(B2OC(C)(C)C(C)(C)O2)C(B2OC(C)(C)C(C)(C)O2)C1c1cccc(Cl)c1,[2H]C(Cl)(Cl)Cl,32.8
CC[B-]1(CC)n2c3ccccc3c[n+]2[B-](CC)(CC)n2c3ccccc3c[n+]21,[2H]C(Cl)(Cl)Cl,4.29
CC(C)(C)NB(F)Oc1c(C(C)(C)C)cccc1C(C)(C)C,[2H]C(Cl)(Cl)Cl,18.9
F[B-]1(c2ccccc2)n2c(Nc3ccc(Nc4ccc5n4[B-](F)(c4ccccc4)[N+]4=C(Cl)C=CC4=C5c4ccccc4)cc3)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,[2H]C(Cl)(Cl)Cl,3.44
CCOP(=O)(OCC)c1cccc(B2OC(C)(C)C(C)(C)O2)c1OC,[2H]C(Cl)(Cl)Cl,30.7
c1cc2n(c1)[B-]1(CCC2)C2CCCC1CCC2,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-8.2
COC(=O)[C@@H](Cc1ccccc1)NC(=O)C(F)(F)CC(I)[B-]12OC(=O)C[N+]1(C)CC(=O)O2,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],10.72
COc1ccc2ccccc2c1B1C(c2c(OC)ccc3ccccc23)=Cc2ccccc2N1Cc1ccc(Cl)cc1,[2H]C(Cl)(Cl)Cl,41.2
CB(N=[N+]=[N-])C1(C)CCCCCC1,[2H]C(Cl)(Cl)Cl,63.4
CC1(C)OB([C@]2(c3ccccc3)C[C@H](c3ccc4ccccc4c3-c3ncnc4ccccc34)C2)OC1(C)C,[2H]C(Cl)(Cl)Cl,34.3
C[Si]1(C)OB(c2ccc(Br)cc2)O[Si](C)(C)O1,[2H]C(Cl)(Cl)Cl,27.0
CC(C)(C)C#CB1Oc2ccccc2O1,[2H]C(Cl)(Cl)Cl,24.0
Cc1ccc2c(c1)N(CCCN1B(c3ccccc3)Oc3ccc(C)cc31)B(c1ccccc1)O2,[2H]C(Cl)(Cl)Cl,34.2
CC1(C)OB(c2cccc3[nH]ccc23)OC1(C)C,[2H]C(Cl)(Cl)Cl,31.05
C/C(=C\c1ccccc1)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,30.5
CC1(C)OB([C@]2(c3ccc(-c4ccccc4)cc3)C[C@H](c3ccc4ccccc4c3-c3nccc4ccccc34)C2)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.6
OB(O)c1ccc2ccccc2c1-c1c(Br)ccc2ccccc12,[2H]C(Cl)(Cl)Cl,29.5
Cc1ccccc1CCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,33.9
[BH3-][PH+](Oc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)c1ccccc1,[2H]C(Cl)(Cl)Cl,-40.7
CCCC[C@@H](Cc1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,34.2
C[N+](C)(C)[BH2-]c1nc2ccccc2n(CC2CC2)c1=O,[2H]C(Cl)(Cl)Cl,-6.0
COc1cccc(/C(=C/C(C)(C)Cc2ccccc2)B2C(Br)=Cc3ccccc3N2C2CCCC2)c1,[2H]C(Cl)(Cl)Cl,37.27
C[N+](C)([BH2-]C#N)CCCCCCCCCCCCCC[N+](C)(C)[BH2-]C#N,[2H]C(Cl)(Cl)Cl,-14.9
CC1(C)OB(C2(Cl)CC2(c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.9
Cc1cc([BH2-][N+](C)(C)C)cc(C)n1,[2H]OC([2H])([2H])[2H],-2.0
CC(O)CCc1ccc(OCC(O)CB2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.35
COP(=O)(OC)[C@@H]([BH2-][P+](C)(c1ccccc1)c1ccccc1)c1ccc(C)c([N+](=O)[O-])c1,[2H]C(Cl)(Cl)Cl,-26.09
COC(=O)C(O[Si](OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C)c1ccc(B2OC(C)(C)CC(C)(C)O2)cc1Br,[2H]C(Cl)(Cl)Cl,25.6
CCCCC[C@H](B1OC(C)(C)C(C)(C)O1)N1CCOC1=O,[2H]C(Cl)(Cl)Cl,32.3
CCCCCCOCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,34.4
Cc1cc(C)cc([C@]2(B3OC(C)(C)C(C)(C)O3)C[C@@H](c3ccc4ccccc4c3-c3nccc4ccccc34)C2)c1,[2H]C(Cl)(Cl)Cl,36.2
Cc1cc(B2OC(C)(C)C(C)(C)O2)c(C[SiH](C)C)c(B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,32.05
CC1(C)OB(/C(=C/CCc2ccccc2)N2CCOC2=O)OC1(C)C,[2H]C(Cl)(Cl)Cl,28.72
CC1(C)OB(/C(=C\c2ccccc2)C(O)C2OC2c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.2
CC(=O)C([I+]c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1.F[B-](F)(F)F,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-1.22
C[Si](C)(C)N1[C+](c2ccc([C+]3N([Si](C)(C)C)[B-](Cl)(c4ccccc4)N3[Si](C)(C)C)cc2)N([Si](C)(C)C)[B-]1(Cl)c1ccccc1,[2H]C(Cl)(Cl)Cl,9.05
C[N+](C)(C)[BH2-]c1cc(Cl)c2ccccc2n1,[2H]C(Cl)(Cl)Cl,-3.7
CCCCOCCCCB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.5
CCCC#C[B-](c1ccccc1)(c1ccccc1)c1ccccc1.C[N+](C)(C)C,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-13.4
COC(=O)C[BH-](c1n(C(C)C)cc[n+]1C(C)C)C(C(=O)OC)c1ccccc1,[2H]C(Cl)(Cl)Cl,-16.56
CC1(C)OB(OCc2ccccc2Br)OC1(C)C,[2H]C(Cl)(Cl)Cl,22.4
c1ccc(NB2N(c3ccccc3)CCN2c2ccccc2)cc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],23.0
CC(C)C1[NH2+][B-](c2ccccc2)(c2ccccc2)OC1=O,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],6.3
CC(=O)/C=C\c1cccc(B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,30.6
CCC(C)NB1C2CCCC1CCC2,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],48.1
CC(CCCN1C(=O)c2ccccc2C1=O)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,34.0
[BH3-][P+]1(CCC=C)CCCCCC1,[2H]C(Cl)(Cl)Cl,-37.58
CC(C)(C)/C=C(\B1C(Br)=Cc2ccccc2N1C1CCCC1)c1cccc(C(=O)[O-])c1[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,[2H]C(Cl)(Cl)Cl,37.2
Fc1c(F)c(F)c([B-](Cl)(c2ccccc2[NH+](c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,[2H]C([2H])(Cl)Cl,-2.2
CC1(C)OB([C@H]2[C@H]3C[C@@H]4[C@H]([C@@H]3c3ccc(C(F)(F)F)cc3)[C@@H]42)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.3
Cc1cccc(C=C(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,30.6
C=CC(O)(B1OC(=O)CN(C)CC(=O)O1)c1ccc(C(F)(F)F)cc1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],9.87
