Smiles,solvent,ppm_values
CC(C)(C)[NH2+][B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)C1c2ccccc2-c2ccccc21,[2H]C(Cl)(Cl)Cl,-4.2
CCCCCCN(CCCCCC)C(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cc(-c2ccccc2)c1,[2H]C(Cl)(Cl)Cl,32.5
Cc1c(C)c2c(c(C)c1OC(=O)CCC/C=C/B1OC(C)(C)C(C)(C)O1)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,[2H]C(Cl)(Cl)Cl,29.9
CC(C)(C)C(=O)N[C@@H](CCCCOCc1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,15.8
CCN1COB(C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)OB1C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],31.7
OB(O)c1c(F)cc(F)cc1F,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],27.76
CC(B(CCC[SiH](C)C)C(C)[SiH](C)C)[SiH](C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],81.1
COc1ccc([C@H]([BH2-][P+](C)(c2ccccc2)c2ccccc2)P(=O)(OC)OC)cc1,[2H]C(Cl)(Cl)Cl,-26.16
CCCC/C(B1OC(C)(C)C(C)(C)O1)=C(\c1cc(OC)cc(OC)c1)c1c(C(=O)OC2COC2)ccc2ccc(OC)cc12,[2H]C(Cl)(Cl)Cl,31.02
CC(C)O[P+](OC(C)C)(OC(C)C)[B-](C(Cl)Cl)(C(Cl)Cl)C(Cl)Cl,[2H]C(Cl)(Cl)Cl,-8.8
CC(C)(C)CNc1cc(B2Nc3cccc4cccc(c34)N2)c(NCC(C)(C)C)cc1B1Nc2cccc3cccc(c23)N1,[2H]C([2H])(Cl)Cl,30.4
c1ccc([B-]2(c3ccccc3)Oc3ccc(-c4ccc(-c5cc(-c6ccc(-c7ccc8c9c7ccc[n+]9[B-](c7ccccc7)(c7ccccc7)O8)cc6)cc(-c6ccc(-c7ccc8c9c7ccc[n+]9[B-](c7ccccc7)(c7ccccc7)O8)cc6)c5)cc4)c4ccc[n+]2c34)cc1,[2H]C(Cl)(Cl)Cl,12.3
[NH2+]=C(c1ccc(-c2ccccc2)cc1)[B-](F)(F)F,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],0.12
CC1c2ccc(o2)B(N(C(C)C)C(C)C)c2ccc(s2)C(C)c2ccc(s2)B(N(C(C)C)C(C)C)c2ccc1s2,[2H]C(Cl)(Cl)Cl,39.0
CC1(C)OB(N2CC=Cc3cccc(Br)c32)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],24.1
CCC1(CC)OB(/C(=C/S(=O)(=O)F)c2ccc(Oc3ccccc3)cc2)OC1(CC)CC,[2H]C(Cl)(Cl)Cl,29.21
C#CB1C(Br)=Cc2ccccc2N1c1ccccc1,[2H]C(Cl)(Cl)Cl,26.06
Cn1c(B2OC(C)(C)C(C)(C)O2)cc2ccc(Cl)cc21,[2H]C(Cl)(Cl)Cl,29.88
CC[SiH](CC)C(C)c1c(B2OC(C)(C)C(C)(C)O2)cc(C[C@@H]2COC(C)(C)N2C(=O)OC(C)(C)C)cc1B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,32.27
CC(C)(C)c1ccc(B(Br)c2ccc(C(C)(C)C)cc2)cc1,[2H]C(Cl)(Cl)Cl,64.8
Cc1ccc(B2Nc3cccc4cccc(c34)N2)cc1,[2H]C(Cl)(Cl)Cl,29.7
CCOc1cc(B2OC(C)(C)CC(C)(C)O2)ccc1C=O,[2H]C(Cl)(Cl)Cl,26.3
CC1(C)OB(C2CCCCCC2B2OC(C)(C)C(C)(C)O2)OC1(C)C,[2H]C(Cl)(Cl)Cl,34.6
Cc1ccc(C2=C(c3ccc(C)cc3)c3ccccc3B3Nc4ccccc4C=C32)cc1,[2H]C(Cl)(Cl)Cl,30.7
[BH3-][PH+](c1ccccc1)c1ccccc1OC,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-36.2
CC(C)(O)C(C)(C)O.OB(Cl)C[C@H]1CCC[NH2+]1,[2H]C(Cl)(Cl)Cl,32.1
CC1(C)OB(CC(c2ccccc2OCc2ccccc2)c2c(F)c(F)c(C#N)c(F)c2F)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.1
C[C@H]1[C@@H](c2ccccc2)O[B-](c2ccccc2)(c2ccccc2)[N@H+]1C,[2H]C(Cl)(Cl)Cl,5.0
[BH3-][n+]1cc(C)cc(C)c1,[2H]C(Cl)(Cl)Cl,-12.59
CC/C(I)=C(\CC)B1Oc2ccccc2O1,[2H]C(Cl)(Cl)Cl,31.1
c1ccn(B(n2cccc2)n2cccc2)c1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],27.5
CC(C)[C@H]1COc2c3[n+](c([BH-]4C5CCCC4CCC5)n21)[C@@H](C(C)C)CO3,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-19.1
c1ccc2c(B3Nc4cccc5cccc(c45)N3)cccc2c1,[2H]C(Cl)(Cl)Cl,30.7
CC(C)Oc1nc2cc3ccccc3cc2nc1[BH2-][N+](C)(C)C,[2H]C(Cl)(Cl)Cl,-6.0
CC1(C)OB(OCc2cccc3ccccc23)OC1(C)C,[2H]C(Cl)(Cl)Cl,22.5
Cl[Si](Cl)(Cl)CB1NB(C[Si](Cl)(Cl)Cl)NB(C[Si](Cl)(Cl)Cl)N1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],32.8
C/C(Br)=C(\B1OC(=O)CN(C)CC(=O)O1)C(=O)c1ccc(Br)cc1,[2H]C([2H])([2H])C#N,9.38
CC1(C)OB([C@]2(C)C[C@H](c3ccc4ccccc4c3-c3nccc4ccccc34)C2)OC1(C)C,[2H]C(Cl)(Cl)Cl,35.5
[BH3-][P+](c1ccccc1)(c1ccccc1)C1CCC(=O)C1,[2H]C(Cl)(Cl)Cl,-39.59
COC(=O)C[BH-](c1n(C)cc[n+]1C)C(C)c1ccc(Br)cc1,[2H]C(Cl)(Cl)Cl,-16.5
CC1=[N+]2C(=C(c3ccccc3)c3ccc(Cl)n3[B-]2(F)c2ccccc2)C=C1,[2H]C(Cl)(Cl)Cl,3.75
COc1ccc2ccccc2c1B1C(c2ccsc2)=Cc2ccccc2N1Cc1ccccc1,[2H]C(Cl)(Cl)Cl,40.3
CCO[Si](OCC)(OCC)c1cc(F)c(B2OC(C)(C)CC(C)(C)O2)c(F)c1,[2H]C(Cl)(Cl)Cl,25.6
C=Cc1cccc(B2Nc3cccc4cccc(c34)N2)c1,[2H]C(Cl)(Cl)Cl,29.9
CB1O/C(=N/c2ccccc2)C1([Si](C)(C)C)[Si](C)(C)C,[2H]C(Cl)(Cl)Cl,57.3
Cn1cc[n+]2c1[B-](F)(F)n1cc[n+](C)c1[B-]2(F)F,[2H]C(Cl)(Cl)Cl,0.5
CC1(C)COB(CC(O)CN(c2ccccc2)c2ccccc2)OC1,[2H]C(Cl)(Cl)Cl,29.66
COc1ccc([B-]2(c3ccc(C(F)(F)F)cc3)c3ccccc3Nc3cccc[n+]32)cc1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-1.53
CC1(C)OB(C(CC(=O)[Si](C)(C)C)c2cccc(Br)c2)OC1(C)C,[2H]C(Cl)(Cl)Cl,32.6
CCC1OC1(C)C(O)C1(B2OC(C)(C)C(C)(C)O2)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,29.4
COc1ccc(C2CC2B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.02
COc1ccc2ccccc2c1B1C(Br)=Cc2ccc(F)cc2N1Cc1ccccc1,[2H]C(Cl)(Cl)Cl,40.2
[NH3+]C(Cc1ccccc1)[B-](F)(F)F,[2H]OC([2H])([2H])[2H],2.85
CC#CC[B-]1(CC#CC)c2ccccc2-c2ccc(-c3ccccc3)c[n+]21,[2H]C(Cl)(Cl)Cl,-0.6
C[Si](C)(C)C1(B(c2ccccc2)C2([Si](C)(C)C)C=Cc3ccccc32)C=Cc2ccccc21,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],52.8
CCCCCCCC(=O)n1c2ccccc2c2cccc(B3OC(C)(C)C(C)(C)O3)c21,[2H]C([2H])(Cl)Cl,21.8
CC(CCC1CCCC1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,[2H]C(Cl)(Cl)Cl,33.4
Cc1cc([BH2-][N+](C)(C)C)c2ccccc2n1,[2H]C(Cl)(Cl)Cl,-4.3
[BH3-][n+]1c(C)c(C)n(C)c1[Si](C)(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-19.7
FC(F)(F)c1cc([B-]2(c3cc4ccccc4o3)c3ccccc3Nc3cccc[n+]32)cc(C(F)(F)F)c1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-4.66
COc1ccc2ccccc2c1B1C(c2ccccc2)=Cc2ccccc2N1Cc1ccccc1,[2H]C(Cl)(Cl)Cl,40.5
COc1cccc2c(/C(=C(\B3OC(C)(C)C(C)(C)O3)c3ccccc3)c3ccccc3)c(C(=O)OC3COC3)ccc12,[2H]C(Cl)(Cl)Cl,30.9
[2H][C@H](CCCCCC)[C@@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,18.0
C[N+](C)(C)[BH2-]c1nc2ccccc2c(=O)n1C1CC1,[2H]C(Cl)(Cl)Cl,-7.4
CCCC(C)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.36
CC[SiH](CC)C(C)c1c(B2OC(C)(C)C(C)(C)O2)cccc1B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,31.86
Cc1cc(C)c(B(c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)c2)c2c(C)cc(C)cc2C)c(C)c1,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],88.0
CC1(C)OB(CC(c2ccc(N3CCOCC3)cc2)c2c(F)c(F)c(C#N)c(F)c2F)OC1(C)C,[2H]C(Cl)(Cl)Cl,32.5
Cn1cn[n+](N)c1.[BH2-](n1cncn1)n1cncn1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-6.3
COC(=O)CCCC[C@@H](CCCc1ccc(OC)cc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,36.32
O=C1C[NH+]2Cc3ccccc3O[B@@-]2(c2ccccc2)O1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],5.66
CC1(C)OB(OC2C3CC4CC(C3)CC2C4)OC1(C)C,[2H]C(Cl)(Cl)Cl,21.9
CC1(C)OB(N(Cc2ccccn2)c2ccccc2)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],25.2
CCCCCCN(CCCCCC)C(=O)c1cc(B2OC(C)(C)C(C)(C)O2)ccc1C(F)(F)F,[2H]C(Cl)(Cl)Cl,30.5
CC1(C)OB(/C=C(\CCCCl)CCC(O)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,29.87
C[C@@H]1[NH2+][B-](c2ccccc2)(c2ccccc2)O[C@@H]1c1ccccc1,[2H]C(Cl)(Cl)Cl,7.4
Cc1ccc(CCB2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,34.11
CC1(C)OB([Si](C)(C)N2CCCC2)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.7
CC1(C)OB(CC(B2OC(C)(C)C(C)(C)O2)c2ccc(O)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.6
CC#CC(O)(B1OC(=O)CN(C)CC(=O)O1)c1ccc(Br)cc1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],9.61
CC1(C)OB(C23CC(CO)(C2)C3)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.4
CC(C)CC(CC(C)C)O[Si](Oc1ccc(B2OC(C)(C)CC(C)(C)O2)cc1CNC(=O)OC(C)(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,[2H]C(Cl)(Cl)Cl,26.7
CC1(C)OB(c2ccc3ccccc3c2-c2cccc3ccccc23)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.8
Nc1cccc([B@@-]23OCC[N+]4=Cc5ccccc5O[B@@-]4(c4cccc(N)c4)OCC[N+]2=Cc2ccccc2O3)c1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.8
CC(C)(C)N1C=CN(C(C)(C)C)[C]1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,[2H]C([2H])(Cl)Cl,-22.9
CN1CC(=O)OB(c2cc3c(-c4ccccc4)c4c(nc3s2)CCCC4)OC(=O)C1,[2H]C([2H])([2H])C#N,10.9
CC(C)(C)B1N(B(N([Si](C)(C)C)[Si](C)(C)C)C(C)(C)C)B(C(C)(C)C)N1C(C)(C)C,[2H]C(Cl)(Cl)Cl,41.9
CCCC[N+](CCCC)(CCCC)CCCC.O[B-](F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,[2H]C([2H])(Cl)Cl,1.3
COc1ccccc1C(C)OB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,22.14
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1Oc1cc(B2OC(C)(C)C(C)(C)O2)c(C[SiH](C)C)c(B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,32.03
C(#Cc1ccc2c(c1)B1Nc3ccccc3C=C1C(c1ccccc1)=C2c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,31.1
COP(=O)(OC)[C@@H]([BH2-][P+](C)(c1ccccc1)c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,-26.4
O=S(=O)(O[B@@-]12CCCC3=[N+]1[C@@H](C=C3)CCC2)C(F)(F)F,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],13.9
C=C(C)[C@]1(B2OC(C)(C)C(C)(C)O2)C[C@@H](c2ccc3ccccc3c2-c2nccc3ccccc23)C1,[2H]C(Cl)(Cl)Cl,34.3
F[B-]1(c2ccccc2)n2c(Cl)ccc2C(c2ccccc2)=C2C=CC(c3ccc4ccccc4c3)=[N+]21,[2H]C(Cl)(Cl)Cl,4.25
CC1(C)OB(N2CC=Cc3cc(Br)ccc32)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],24.6
C=C(B1OC(C)(C)C(C)(C)O1)C(B1OC(C)(C)C(C)(C)O1)(c1ccccc1)c1ccccc1C,[2H]C(Cl)(Cl)Cl,32.2
C[N+](C)(CC(O)c1ccccc1)[BH-](C(F)(F)F)C(F)(F)F,[2H]C(Cl)(Cl)Cl,-8.0
C[Si](C)(C)C1=CC(B(c2ccccc2)c2ccccc2)c2ccccc21,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],61.4
CC(NC(=O)C(F)(F)CC(Br)[B-]12OC(=O)C[N+]1(C)CC(=O)O2)C12C[C@H]3C[C@H](C1)C[C@@H](C2)C3,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],10.45
COC(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,31.3
CC(C)(C)B1N(C(C)(C)C)B(C(C)(C)C)C12CC2(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],45.7
CC1(C)OB(/C(=C\c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,31.8
Clc1ccc(C(c2ccc(Cl)cc2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)cc1,[2H]C(Cl)(Cl)Cl,-0.24
CCCCN(B1OC(C)(C)C(C)(C)O1)B1OC(C)(C)C(C)(C)O1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],21.6
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)OBO2,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],29.8
C[C@H]1[C@@H](c2ccccc2)O[B-](c2ccccc2)(c2ccccc2)[N+]1(C)C,[2H]C(Cl)(Cl)Cl,5.5
CCCCCCCC[Si@]1(C)OB(c2ccc(Br)cc2)O[Si@@](C)(CCCCCCCC)OB(c2ccc(Br)cc2)O1,[2H]C(Cl)(Cl)Cl,25.3
ClB1N(c2ccccc2)C=NN1c1ccccc1,[2H]C([2H])(Cl)Cl,22.8
Cc1ccnc([BH2-][N+](C)(C)C)c1,[2H]C(Cl)(Cl)Cl,-5.2
c1ccc(B2O[Si](c3ccccc3)(c3ccccc3)OB(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1,[2H]C(Cl)(Cl)Cl,29.1
C[N+]12CCCC(CO[B-]1(c1ccccc1)c1ccccc1)C2,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.0
COc1ccccc1B1NC(=O)c2ccccc2N1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],30.09
C=C(B1Oc2ccccc2O1)B1Oc2ccccc2O1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],32.2
COc1cccc(B2NC(=O)c3ccccc3N2)n1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],29.03
[BH3-][P+]([C@H](C)c1ccccc1)([C@H](C)c1ccccc1)[C@@H](C)c1ccccc1,[2H]C(Cl)(Cl)Cl,-43.36
FB(F)/C(F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],20.66
c1ccc(B2Oc3ccccc3N2CCN2B(c3ccccc3)Oc3ccccc32)cc1,[2H]C(Cl)(Cl)Cl,32.5
Cn1c(=O)c([BH2-][N+](C)(C)C)nc2cc(Cl)ccc21,[2H]C(Cl)(Cl)Cl,-6.1
CCO[Si](OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)c1ccc(B2OC(C)(C)CC(C)(C)O2)cc1CC,[2H]C(Cl)(Cl)Cl,27.3
C=CCB1CCC[Si@@H](C)C([Si](C)(C)C)=C1CC=C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],71.5
OB1ON=Cc2ccccc21,[2H]OC([2H])([2H])[2H],24.6
CCCCCC#CC(O)(CCCCCC)B1OC(=O)CN(C)CC(=O)O1,[2H]C([2H])([2H])C#N,9.92
COc1ccc2ccc(C(=O)OC3COC3)c(/C(=C(/CCCCO[Si](C)(C)C(C)(C)C)B3OC(C)(C)C(C)(C)O3)c3ccccc3)c2c1,[2H]C(Cl)(Cl)Cl,31.0
C[Si](Cl)(Cl)CB1NB(C[Si](C)(Cl)Cl)NB(C[Si](C)(Cl)Cl)N1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],34.1
CC(C)(C)c1cccc(C(C)(C)C)c1OB1N(C(C)(C)C)B(Oc2c(C(C)(C)C)cccc2C(C)(C)C)N1C(C)(C)C,[2H]C(Cl)(Cl)Cl,25.0
COC(=O)N(c1ccccc1)C(Cc1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,23.85
CC(C)C[NH2+][B-]1(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)OB(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)O1,[2H]C(Cl)(Cl)Cl,18.6
Cc1cc(B2OC(C)(C)C(C)(C)O2)c2ccc([Si](C)(C)C)cc2n1,[2H]C(Cl)(Cl)Cl,31.82
COc1ccc(F)cc1B1OC(C2CCCCC2)(C2CCCCC2)[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(C)cc1,[2H]C(Cl)(Cl)Cl,32.0
CC(CCC(=O)OC[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,34.3
C(=C(/B(C1CCCCC1)C1CCCCC1)c1ccccc1)\c1ccccc1,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],76.0
CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)C1CCCCC1,[2H]C(Cl)(Cl)Cl,30.1
CC#CC(O)(B1OC(=O)CN(C)CC(=O)O1)c1ccc(C(=O)NC(C)C)cc1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],9.68
CC(C)(C)N1C=CN(C(C)(C)C)B1C#CB1N(C(C)(C)C)C=CN1C(C)(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],16.8
CCN(B1OC(C)(C)C(C)(C)O1)C(=O)P(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,24.5
CB(C)c1c(B(C)C)c([B-](C)(C)[n+]2ccccc2)c(B(C)C)c(B(C)C)c1[B-](C)(C)[n+]1ccccc1,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],55.4
CO[Si](C)(C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.1
CC1(C)OB([C@@H]([NH3+])Cc2cn(Cc3ccccc3)c3ccccc23)OC1(C)C.[Cl-],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],33.1
O=[N+]([O-])c1ccc(CNB2OCCO2)cc1,[2H]C(Cl)(Cl)Cl,25.6
CCCC/C(B1OC(C)(C)C(C)(C)O1)=C(\c1ccc(OC(F)F)cc1)c1c(C(=O)OC2COC2)ccc2ccc(OC)cc12,[2H]C(Cl)(Cl)Cl,31.31
Cc1ccc(CCCC(C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,33.7
COc1ccc(COC(=O)c2ccc3ccc(OC)cc3c2/C(=C(\B2OC(C)(C)C(C)(C)O2)c2ccccc2)c2ccccc2)cc1,[2H]C(Cl)(Cl)Cl,31.15
Cc1cc(C)nc([BH2-][N+](C)(C)C)n1,[2H]C(Cl)(Cl)Cl,-4.5
C=CCC(C)(C(=O)OC)C(B1OC(C)(C)C(C)(C)O1)c1ccc(Cl)cc1,[2H]C(Cl)(Cl)Cl,32.6
Fc1c(F)c(F)c([B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[PH+](C2CCCCC2)C2CCCCC2)c(F)c1F,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-13.5
CC1(C)OB(c2ccc(C(=O)c3ccccc3)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.66
CCC1(CC)OB(/C(=C/S(=O)(=O)F)CCCOC(=O)[C@@H]2C[C@H]2c2ccccc2)OC1(CC)CC,[2H]C(Cl)(Cl)Cl,29.06
COc1cc(B2OC(C)(C)CC(C)(C)O2)cc(OC)c1[Si](OC)(OC)OC,[2H]C(Cl)(Cl)Cl,25.7
CCO[Si](OCC)(OCC)c1cc(F)c(B2OC(C)(C)CC(C)(C)O2)cc1COC,[2H]C(Cl)(Cl)Cl,26.31
COc1ccc(C(B2OC(C)(C)C(C)(C)O2)C(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.2
CC(OB1OC(C)(C)C(C)(C)O1)c1ccccc1Br,[2H]C(Cl)(Cl)Cl,22.15
CCCC/C(B1OC(C)(C)C(C)(C)O1)=C(\c1ccc(F)cc1)c1c(C(=O)OC2COC2)ccc2ccc(OC)cc12,[2H]C(Cl)(Cl)Cl,30.46
CCCCN1B(c2c(OC)ccc3ccccc23)C(Br)=Cc2ccccc21,[2H]C(Cl)(Cl)Cl,37.8
F[B-]1(c2ccccc2)n2c(Cl)ccc2C(c2ccccc2)=C2C=CC(C#Cc3ccccc3)=[N+]21,[2H]C(Cl)(Cl)Cl,4.14
COc1ccc(C2=[N+]3C(=C(c4ccccc4)c4ccc(Nc5ccc(C)cc5)n4[B-]3(F)c3ccccc3)C=C2)cc1,[2H]C(Cl)(Cl)Cl,4.63
c1cc[n+]([B-]23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)cc1,[2H]C(Cl)(Cl)Cl,-3.7
CC(C)(CB1OC(C)(C)C(C)(C)O1)c1csc2ccccc12,[2H]C(Cl)(Cl)Cl,32.29
CCOC(=O)[C@]1(c2ccc(Cl)c(Cl)c2)C[C@@]1(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,32.1
COc1ccc(CN2CCc3ccccc3[C@@H]2CB2Nc3cccc4cccc(c34)N2)cc1,[2H]C(Cl)(Cl)Cl,31.6
C=CC1CC(B2OC(C)(C)C(C)(C)O2)=CC1(c1ccsc1)C(O)c1ccccc1,[2H]C(Cl)(Cl)Cl,29.9
COC(=O)C[BH2-]c1n(C)cc[n+]1C,[2H]C(Cl)(Cl)Cl,-28.3
CC1(C)OB(/C(=C\c2c3ccccc3cc3ccccc23)B2Nc3cccc4cccc(c34)N2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.1
CC1(C)OB(c2ccc(NC(=O)C3=CCCCC3)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,30.42
CC1(C)OB([Si](C)(C)c2ccccc2)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],34.3
C=CB1NB(C=C)NB(C=C)N1,[2H]C(Cl)(Cl)Cl,31.2
[Cl-].[NH3+]C(B(O)O)c1ccc(C(F)(F)F)cc1,[2H]OC([2H])([2H])[2H],27.79
Cc1cc(C)c([B-](F)(c2c(C)cc(C)cc2C)c2cccc3cccc(C[N+](C)(C)C)c23)c(C)c1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],12.2
Cc1cc(C)cc(CCC(CS(=O)(=O)F)B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,33.79
CCCC/C(B1OC(C)(C)C(C)(C)O1)=C(/C#C[Si](C)(C)C)c1ccc(OC)cc1,[2H]C(Cl)(Cl)Cl,32.0
CP(C)c1ccccc1B1OCCO1,[2H]C(Cl)(Cl)Cl,32.0
CC(C)B(C(C)C)C1C=Cc2ccccc21,[2H]C(Cl)(Cl)Cl,87.0
Cc1ccc2c(c1)C(c1ccccc1)=C(c1ccccc1)C1=Cc3ccccc3NB12,[2H]C(Cl)(Cl)Cl,29.2
CC1(C)OB(C2C=c3ccccc3=C2[Si](C)(C)C)OC1(C)C,[2H]C(Cl)(Cl)Cl,29.41
COc1ccc(C(CB2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.8
C=CC1CC(B2OC(C)(C)C(C)(C)O2)=CC1(C(=O)OC)C(O)c1ccc(C)cc1,[2H]C(Cl)(Cl)Cl,28.2
COc1ccc2ccc([C@H]3C[C@](B4OC(C)(C)C(C)(C)O4)(c4ccccc4)C3)c(-c3nccc4ccccc34)c2c1,[2H]C(Cl)(Cl)Cl,35.3
CC(C)COCC(C)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.4
