feature_idx,mean_abs_shap,feature_name,feature_block
1041,0.04268895412292587,compound_FpDensityMorgan3,compound_rdkit
1040,0.042294087927960716,compound_FpDensityMorgan2,compound_rdkit
1148,0.042072241995436216,compound_NumSaturatedHeterocycles,compound_rdkit
414,0.041446315865548866,compound_morgan_bit_414,compound_morgan
1111,0.04080174053743923,compound_EState_VSA2,compound_rdkit
1145,0.04034095488774074,compound_NumHeterocycles,compound_rdkit
1146,0.03909511374979776,compound_NumRotatableBonds,compound_rdkit
1126,0.03852100508974132,compound_VSA_EState7,compound_rdkit
1538,0.03829412319010361,solvent_morgan_bit_297,solvent_morgan
1129,0.03781883905286224,compound_FractionCSP3,compound_rdkit
1113,0.036377547530111465,compound_EState_VSA4,compound_rdkit
1995,0.036117091076919024,solvent_morgan_bit_754,solvent_morgan
22,0.03537544175249871,compound_morgan_bit_22,compound_morgan
1080,0.0353543387201964,compound_PEOE_VSA5,compound_rdkit
1068,0.03508422080862835,compound_Kappa2,compound_rdkit
2041,0.034057570868744655,solvent_morgan_bit_800,solvent_morgan
1025,0.0335994795003359,compound_MaxEStateIndex,compound_rdkit
1138,0.03354784540689437,compound_NumAromaticHeterocycles,compound_rdkit
1052,0.03288446881391418,compound_BertzCT,compound_rdkit
915,0.03183855183330154,compound_morgan_bit_915,compound_morgan
2267,0.03177066422295391,solvent_MinAbsEStateIndex,solvent_rdkit
2395,0.030661035724318445,solvent_MolLogP,solvent_rdkit
1087,0.029945093677040683,compound_SMR_VSA2,compound_rdkit
628,0.029929128945371985,compound_morgan_bit_628,compound_morgan
397,0.029677211305378086,compound_morgan_bit_397,compound_morgan
1200,0.02965924243733281,compound_fr_halogen,compound_rdkit
2299,0.029537006393640913,solvent_Chi1v,solvent_rdkit
1059,0.029425219435717503,compound_Chi2n,compound_rdkit
386,0.028822288919593396,compound_morgan_bit_386,compound_morgan
1057,0.028605339341752925,compound_Chi1n,compound_rdkit
749,0.028224121518940236,compound_morgan_bit_749,compound_morgan
497,0.027834189060933136,compound_morgan_bit_497,compound_morgan
1103,0.027594328226260102,compound_SlogP_VSA6,compound_rdkit
2280,0.02682230694359314,solvent_FpDensityMorgan1,solvent_rdkit
1092,0.026315371923902927,compound_SMR_VSA7,compound_rdkit
1151,0.02630664800305144,compound_NumUnspecifiedAtomStereoCenters,compound_rdkit
1031,0.02574132747577591,compound_HeavyAtomMolWt,compound_rdkit
1144,0.02572694090453251,compound_NumHeteroatoms,compound_rdkit
1074,0.025421709235203597,compound_PEOE_VSA12,compound_rdkit
625,0.02481904706778332,compound_morgan_bit_625,compound_morgan
1089,0.024749051397003605,compound_SMR_VSA4,compound_rdkit
893,0.024732299897469504,compound_morgan_bit_893,compound_morgan
736,0.024419783212983198,compound_morgan_bit_736,compound_morgan
1149,0.024359815584992665,compound_NumSaturatedRings,compound_rdkit
1153,0.023925438782436068,compound_RingCount,compound_rdkit
1058,0.023535795471100754,compound_Chi1v,compound_rdkit
1053,0.02344939652408295,compound_Chi0,compound_rdkit
1067,0.023313091489762478,compound_Kappa1,compound_rdkit
