config,seed,model_name,test_r2,test_rmse,test_mae
molt5_morgan,44,xgboost,0.9308,5.82,2.76
molt5_rdkit,42,catboost,0.8489,8.47,4.25
molt5_rdkit,43,catboost,0.8917,7.32,4.08
molt5_rdkit,44,catboost,0.8797,7.67,3.96
molt5_rdkit,42,extratrees,0.714,11.65,6.76
molt5_rdkit,43,extratrees,0.759,10.93,6.49
molt5_rdkit,44,extratrees,0.7338,11.42,6.69
molt5_rdkit,42,histgradientboosting,0.867,7.95,4.03
molt5_rdkit,43,histgradientboosting,0.8787,7.75,3.87
molt5_rdkit,44,histgradientboosting,0.8859,7.48,3.78
molt5_rdkit,42,lgbm,0.8567,8.25,4.22
molt5_rdkit,43,lgbm,0.884,7.58,3.9
molt5_rdkit,44,lgbm,0.8793,7.69,3.83
molt5_rdkit,42,randomforest,0.7326,11.27,6.48
molt5_rdkit,43,randomforest,0.7638,10.82,6.39
molt5_rdkit,44,randomforest,0.778,10.43,6.14
molt5_rdkit,42,ridge,0.7779,10.27,6.96
molt5_rdkit,43,ridge,0.8168,9.53,6.56
molt5_rdkit,44,ridge,0.7904,10.13,6.98
molt5_rdkit,42,xgboost,0.8555,8.28,4.15
molt5_rdkit,43,xgboost,0.8739,7.9,3.95
molt5_rdkit,44,xgboost,0.8806,7.65,3.68
morgan,42,catboost,0.8585,8.2,4.35
morgan,43,catboost,0.8718,8.18,4.31
morgan,44,catboost,0.8468,8.56,4.72
morgan,42,extratrees,0.8188,9.28,4.28
morgan,43,extratrees,0.8757,8.06,3.94
morgan,44,extratrees,0.8418,8.69,4.4
morgan,42,histgradientboosting,0.8591,8.18,4.57
morgan,43,histgradientboosting,0.8656,8.38,4.73
morgan,44,histgradientboosting,0.8463,8.57,4.74
morgan,42,lgbm,0.8676,7.93,4.07
morgan,43,lgbm,0.8807,7.89,4.17
morgan,44,lgbm,0.8519,8.41,4.41
morgan,42,randomforest,0.7943,9.88,4.84
morgan,43,randomforest,0.8497,8.86,4.74
morgan,44,randomforest,0.8092,9.55,4.92
morgan,42,ridge,0.725,11.43,7.59
morgan,43,ridge,0.7604,11.18,7.58
morgan,44,ridge,0.7078,11.82,8.11
morgan,42,xgboost,0.8885,7.28,3.38
morgan,43,xgboost,0.8789,7.95,3.76
morgan,44,xgboost,0.8787,7.61,3.75
morgan_rdkit,42,catboost,0.898,6.96,3.18
morgan_rdkit,43,catboost,0.9263,6.04,3.05
morgan_rdkit,44,catboost,0.9257,6.03,2.92
morgan_rdkit,42,extratrees,0.8647,8.01,4.08
morgan_rdkit,43,extratrees,0.8683,8.08,4.01
morgan_rdkit,44,extratrees,0.8711,7.95,4.0
morgan_rdkit,42,histgradientboosting,0.8989,6.93,3.19
morgan_rdkit,43,histgradientboosting,0.9191,6.33,3.0
morgan_rdkit,44,histgradientboosting,0.9314,5.79,2.96
morgan_rdkit,42,lgbm,0.8969,7.0,3.13
morgan_rdkit,43,lgbm,0.927,6.01,2.81
morgan_rdkit,44,lgbm,0.9258,6.03,2.97
morgan_rdkit,42,randomforest,0.8332,8.9,4.63
morgan_rdkit,43,randomforest,0.8322,9.12,4.6
morgan_rdkit,44,randomforest,0.8473,8.65,4.5
morgan_rdkit,42,ridge,0.8121,9.45,6.44
morgan_rdkit,43,ridge,0.8107,9.69,6.44
morgan_rdkit,44,ridge,0.8265,9.22,6.17
morgan_rdkit,42,xgboost,0.9093,6.56,2.89
morgan_rdkit,43,xgboost,0.924,6.14,2.68
morgan_rdkit,44,xgboost,0.9304,5.84,2.71
rdkit_descriptors,42,catboost,0.8864,7.34,3.52
rdkit_descriptors,43,catboost,0.896,7.18,3.44
rdkit_descriptors,44,catboost,0.8991,7.03,3.43
rdkit_descriptors,42,extratrees,0.8077,9.56,4.87
rdkit_descriptors,43,extratrees,0.8153,9.57,4.66
rdkit_descriptors,44,extratrees,0.8413,8.82,4.6
rdkit_descriptors,42,histgradientboosting,0.8948,7.07,3.49
rdkit_descriptors,43,histgradientboosting,0.889,7.42,3.48
rdkit_descriptors,44,histgradientboosting,0.9068,6.76,3.41
rdkit_descriptors,42,lgbm,0.8801,7.54,3.58
rdkit_descriptors,43,lgbm,0.8888,7.42,3.14
rdkit_descriptors,44,lgbm,0.9083,6.7,3.17
rdkit_descriptors,42,randomforest,0.8265,9.08,4.62
rdkit_descriptors,43,randomforest,0.8206,9.43,4.8
rdkit_descriptors,44,randomforest,0.8398,8.86,4.51
rdkit_descriptors,42,ridge,0.6983,11.97,8.45
rdkit_descriptors,43,ridge,0.7708,10.66,7.3
rdkit_descriptors,44,ridge,0.7838,10.29,7.18
rdkit_descriptors,42,xgboost,0.8908,7.2,3.27
rdkit_descriptors,43,xgboost,0.8912,7.34,3.32
rdkit_descriptors,44,xgboost,0.9101,6.64,2.88
unimol,42,catboost,0.8721,7.79,4.42
unimol,43,catboost,0.1319,21.29,15.71
unimol,44,catboost,0.0997,20.74,15.2
unimol,42,extratrees,0.8186,9.28,5.09
unimol,43,extratrees,0.1312,21.29,15.7
unimol,44,extratrees,0.0884,20.87,15.15
unimol,42,histgradientboosting,0.8802,7.54,4.28
unimol,43,histgradientboosting,0.1291,21.32,15.71
unimol,44,histgradientboosting,0.0998,20.74,15.18
unimol,42,lgbm,0.8782,7.6,4.26
unimol,43,lgbm,0.1289,21.32,15.74
unimol,44,lgbm,0.1022,20.71,15.18
unimol,42,randomforest,0.8218,9.2,5.25
unimol,43,randomforest,0.1325,21.28,15.69
unimol,44,randomforest,0.0952,20.79,15.24
unimol,42,ridge,0.8815,7.5,4.72
unimol,43,ridge,0.1284,21.33,15.73
unimol,44,ridge,0.0884,20.87,15.14
unimol,42,xgboost,0.8764,7.66,4.22
unimol,43,xgboost,0.132,21.28,15.68
unimol,44,xgboost,0.0995,20.74,15.16
unimol_rdkit,42,catboost,0.8842,7.41,4.07
unimol_rdkit,43,catboost,0.8939,7.25,3.4
unimol_rdkit,44,catboost,0.8928,7.25,3.47
unimol_rdkit,42,extratrees,0.8011,9.72,5.35
unimol_rdkit,43,extratrees,0.7797,10.45,5.38
unimol_rdkit,44,extratrees,0.7752,10.49,5.6
unimol_rdkit,42,histgradientboosting,0.8925,7.15,3.58
unimol_rdkit,43,histgradientboosting,0.8895,7.4,3.34
unimol_rdkit,44,histgradientboosting,0.9135,6.51,3.26
unimol_rdkit,42,lgbm,0.865,8.01,3.88
unimol_rdkit,43,lgbm,0.8947,7.22,3.32
unimol_rdkit,44,lgbm,0.9059,6.79,3.18
unimol_rdkit,42,randomforest,0.8001,9.74,5.52
unimol_rdkit,43,randomforest,0.7924,10.14,5.29
unimol_rdkit,44,randomforest,0.8057,9.76,5.13
unimol_rdkit,42,ridge,0.8849,7.39,4.73
unimol_rdkit,43,ridge,0.7762,10.53,7.32
unimol_rdkit,44,ridge,0.7803,10.37,7.24
unimol_rdkit,42,xgboost,0.8798,7.56,3.73
unimol_rdkit,43,xgboost,0.8545,8.49,3.66
unimol_rdkit,44,xgboost,0.9072,6.74,3.01
