Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
Cc1ccc2c(c1)[N@H+]1Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3O[B@@-]1(c1ccccc1)O2,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],8.7,3347
CC(C)N(B(c1cccn1Cc1ccccc1)c1cccn1Cc1ccccc1)C(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,36.4,3348
Cc1ccc2c(c1)[N@H+]1Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3O[B@@-]1(c1cccc(N)c1)O2,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],8.7,3350
CC(C)(C)c1ccc2c(c1)OB(C1=CC=C(B3Oc4ccc(C(C)(C)C)cc4O3)C1[Si](C)(C)C)O2,CDCl3,[2H]C(Cl)(Cl)Cl,22.9,3351
[BH3-][P@@+]1(c2c(C)cc(C)cc2C)[C@@H]2C(C)=C[C@H]1[C@@H]1[C@H]2C(C)=CP1(=O)c1c(C)cc(C)cc1C,CDCl3,[2H]C(Cl)(Cl)Cl,-34.7,3353
CC(C)(C)C1=C(B2C3CCCC2CCC3)CC[Si]1(c1ccccc1)c1ccccc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],83.2,3354
C/C(=C1/B(n2c3ccccc3c3ccccc32)C2CCCCCCC1CC2)[Sn](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],58.7,3355
CC(C)CB1OC(=C(c2ccccc2)c2ccccc2)C(/C=N\C(C)(C)C)N1C(C)(C)C,CD2Cl2,[2H]C([2H])(Cl)Cl,34.9,3359
[BH3-][P+]1(c2c(C)cc(C)cc2C)C=C(C)[C@@H]2[C@H]1[C@@H]1C=C(C)[C@H]2[P@@+]1([BH3-])c1c(C)cc(C)cc1C,CDCl3,[2H]C(Cl)(Cl)Cl,-33.9,3365
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-]1(Cl)Oc3c(cc(C(C)(C)C)cc3C(C)(C)C)[NH+]21,CDCl3,[2H]C(Cl)(Cl)Cl,14.9,3367
