Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
B1NBNBN1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],30.2,9
CC(C)[NH2+]C(C)C.[BH3-][P](=O)OC,D2O,[2H]O[2H],-41.86,48
FC(F)=C(Cl)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,0.78,64
FB(F)C(F)=C(F)F,d8-Toluene,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],21.8,65
FC(F)=C[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.29,68
F/C=C(/F)[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],0.39,69
C=C[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.4,70
[2H][B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[K+],D2O,[2H]O[2H],-22.4,107
F[B-](F)(F)C#CC(F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-2.4,108
FC(F)=C([B-](F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,1.03,113
F/C(=C(\F)C(F)(F)F)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.25,114
F/C(=C(/F)C(F)(F)F)[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.3,115
O=[N+]([O-])[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-9.8,117
F[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-7.3,118
F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.64,119
FC(F)(F)[BH-](C(F)(F)F)C(F)(F)F.[Cs+],D2O,[2H]O[2H],-22.2,121
O[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-10.6,122
F[B-](F)(F)/C=C/CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],4.6,124
F[B-](F)(F)C1CC1CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.62,125
C=CCB(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,61.4,127
C=CCB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.6,128
CCCC[N+](CCCC)(CCCC)CCCC.O=CCC[B-](F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,3.27,129
CC1([B-](F)(F)F)CO1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],3.58,130
COC(=O)[BH2-]C#N.[K+],D2O,[2H]O[2H],-33.5,131
Cl[Si](Cl)(Cl)CB1NB(C[Si](Cl)(Cl)Cl)NB(C[Si](Cl)(Cl)Cl)N1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],32.8,134
[Li]N1B(C)NB(C)NB1C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],35.4,139
CN1BN(C)BN(C)B1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],33.2,143
C=P(O)(O)[BH2-][N+](C)(C)C,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-9.6,146
C[N+](C)(C)[BH2-]P,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-6.7,147
C[N+](C)(C)[BH2-]P(O)(O)=S,CD2Cl2,[2H]C([2H])(Cl)Cl,-9.2,148
C[N+](C)(C)[BH2-]P(O)(O)=[Se],CD2Cl2,[2H]C([2H])(Cl)Cl,-9.2,149
[BH3-][PH2+][BH2-][N+](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-39.5;-10.3,156
FC(F)=C(F)[B-](F)(C(F)(F)F)C(F)(F)F.[Cs+],CD3CN,[2H]C([2H])([2H])C#N,-6.4,162
N#C[B-](C#N)(C#N)C#N.[Li+],CD3CN,[2H]C([2H])([2H])C#N,68.5,166
C#C[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-8.7,167
O[B-](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,0.1,168
C=C[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-4.7,169
COC(=O)[BH-](C#N)C#N.[K+],D2O,[2H]O[2H],-32.7,171
COC(=O)[B-](O)(C#N)C#N.[K+],CD3CN,[2H]C([2H])([2H])C#N,-15.1,172
F[B-](F)(F)/C(=C/CCl)CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3,173
C=CC(=C)[B-](F)(F)F.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],3.63,174
CCC[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-1.9,175
C=C(C)CB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.6,181
C/C=C\CB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.7,182
C=CCC[B-](F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,4.85,183
C=CCC[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],7.36,183
F[B-](F)(F)CCC1CO1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],5.88,184
CC(=O)CC[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],5.65,185
CC(=O)CC[B-](F)(F)F.[K+],CDCl3 ,[2H]C(Cl)(Cl)Cl ,5.38,185
CN(C)[BH-](C(F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-11.2,186
CC(B(Cl)C(C)[Si](Cl)(Cl)Cl)[Si](Cl)(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],68.5,189
C[NH+](C)[BH-](C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-10,190
[BH3-][n+]1ccn(C)c1,CDCl3,[2H]C(Cl)(Cl)Cl,-18.4,192
CC([NH2+][BH2-]C#N)C(N)=O,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-24.82,196
C[Si](C)(C)CB(Br)Br,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],58.9,197
C[N+](C)(C)[B-](Cl)(Cl)CCl,CDCl3,[2H]C(Cl)(Cl)Cl,8.5,198
[2H][C@H]1SC[N@@+]([BH3-])(C)CS1,CDCl3,[2H]C(Cl)(Cl)Cl,-8.18,199
[BH3-]N1CCCC1.[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-20.6,200
CCB(OS(C)(=O)=O)OS(C)(=O)=O,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],27.7,203
C[N+](C)(C)[BH-](Cl)CCl,CDCl3,[2H]C(Cl)(Cl)Cl,2.9,205
B.CCCCN,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-19.4,207
B.CC(C)CCP,CDCl3,[2H]C(Cl)(Cl)Cl,-42.3,208
Fc1nc(F)c(F)c([B-](F)(F)F)c1F.[K+],CD3CN,[2H]C([2H])([2H])C#N,1.2,229
F/C(C#C[B-](F)(F)F)=C(\F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-2.2,230
F/C(C#C[B-](F)(F)F)=C(/F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-2.2,231
F[B-](F)(F)C#CC(F)(F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-2.6,233
F[B-](F)(F)C#CC(F)(C(F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-2.6,234
F/C(=C(\F)C(F)(F)F)[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,-6.3,235
F/C(=C(/F)C(F)(F)F)[B-](F)(C(F)(F)F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-6.3,236
O=Cc1cc([B-](F)(F)F)cs1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],0.64,238
O=Cc1ccc([B-](F)(F)F)o1.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-0.68,239
CO[B-](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.8,240
C[NH+](C)C.FC(F)(F)[B-]1(C(F)(F)F)CCCO1,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-4.5,242
C[N+](C)=C(F)C[B-](F)(C(F)(F)F)C(F)(F)F,CD3CN,[2H]C([2H])([2H])C#N,-4.1,243
FC(F)(F)[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F.N[C+](N)N,CD3CN,[2H]C([2H])([2H])C#N,-18.9,244
C[NH+](C)[B-](C#N)(C(F)(F)F)C(F)(F)F,CD3CN,[2H]C([2H])([2H])C#N,-14.1,245
C[NH+](C)[B-](C(=O)O)(C(F)(F)F)C(F)(F)F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-12.4,247
CC(C)=CCB(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,27.8,249
C=C(C)CC[B-](F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC,CDCl3,[2H]C(Cl)(Cl)Cl,3.54,250
C=C(C)CC[B-](F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],5.38,250
C=S1N(S(C)(=O)=O)[B-](C(F)(F)F)(C(F)(F)F)[N+]1(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-3.1,251
C[N+](C)(C)[BH-](C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-8,252
C[Si](C)(C)C=C(B(Cl)Cl)B(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,60.5;57.4,254
C[N+](C)(C)[BH-](C#N)C(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,-8,256
C[N+](C)(C)[B@@-](Cl)(C#N)C(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,-2.3,257
C[N+](C)(C)[B@@H-](C#N)C(=O)O,CDCl3,[2H]C(Cl)(Cl)Cl,-12.6,258
[BH3-]C1CCCC1.[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-25.9,263
COC(=O)[B-](Br)(Br)[N+](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,0.78,264
CCO[P+](Cl)([BH2-]C#N)OCC,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-42.18,265
C[Si](C)(Cl)CCCB(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],62.1,266
C[N+](C)(C)[BH-](C(Cl)Cl)C(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,-1.1,267
C[N+]1([B-](F)(F)F)CC[N+](C)([B-](F)(F)F)C1,CDCl3,[2H]C(Cl)(Cl)Cl,-0.6,268
CC([B-](Cl)(Cl)[S+](C)C)[Si](C)(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],5.8,270
CC[N+](C)(C)[BH2-]C#N,CDCl3,[2H]C(Cl)(Cl)Cl,-15.98,271
CCB(CC)OS(C)(=O)=O,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],59.5,274
[BH3-][N@+]1(C)CS[C@@H](C)SC1,CDCl3,[2H]C(Cl)(Cl)Cl,-8.5,276
C[C@H]1SC[N+](C)(C)[B-](C)(C)S1,CDCl3,[2H]C(Cl)(Cl)Cl,-3.6,277
C[N@+]1([B-](F)(F)F)CC[N@+](C)([B-](F)(F)F)C1,CDCl3,[2H]C(Cl)(Cl)Cl,-8.7;0.0,282
COC(C)(C)C.[BH4-].[Li+],C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-39.7,283
[BH3-][N+](C)(C)C(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-12.29,285
[BH3-][N@@+]1(C)CC[N@@+]([BH3-])(C)C1,CDCl3,[2H]C(Cl)(Cl)Cl,-8.5,294
[BH3-][P+](C)(C)C[P+]([BH3-])(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-36.2,301
Fc1c(F)c(F)c([B-](F)(F)F)c(F)c1F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],1.82,308
Fc1c(F)c(F)c([B-](F)(F)F)c(F)c1F.[K+],CD3CN,[2H]C([2H])([2H])C#N,1.81,308
Fc1c(F)c(F)c([B-](F)(F)F)c(F)c1F.[K+],CD3OD,[2H]OC([2H])([2H])[2H],2.06,308
C[N+](C)(C)C.F/C(=C(/F)C(F)(F)F)[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F,CD3CN,[2H]C([2H])([2H])C#N,-19.1,310
C[N+](C)(C)C.FC(F)(F)[B-]1(C(F)(F)F)C(F)(F)C1(F)C(F)(F)C(F)(F)F,CD3CN,[2H]C([2H])([2H])C#N,-24.6,311
O=[N+]([O-])[B-](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-3.8,315
F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.53,316
Fc1c(F)c(F)c(B(Br)Br)c(B(Br)Br)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],54,317
[Cs+].[Cs+].[O-]/[N+](=[N+](/[O-])[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F)[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F,CD3CN,[2H]C([2H])([2H])C#N,-10.3,320
Clc1c(Cl)c(Cl)c2c(c1Cl)OBO2,CDCl3,[2H]C(Cl)(Cl)Cl,30.2,321
[BH3-]c1cc(F)c(F)c(F)c1F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.07,323
FC(F)(F)C(F)(F)[BH-](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-21.5,324
O[B-](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-7.1,325
O[B-](F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,-0.2,326
Fc1cc([B-](F)(F)F)cc(F)c1F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.67,331
Fc1cccc(F)c1B(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],54,334
[N-]=[N+]=NB(N=[N+]=[N-])c1c(F)cccc1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],36.5,336
OB(O)c1c(F)c(F)cc(F)c1F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],27.21,341
Fc1cccc(F)c1[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],2.36,342
IB(I)c1cc(B(I)I)cc(B(I)I)c1,CDCl3,[2H]C(Cl)(Cl)Cl,47.7,343
Clc1ccc2c(c1)OBO2,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],30.2,344
Fc1ccccc1B(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],53,345
[N-]=[N+]=NB(N=[N+]=[N-])c1ccccc1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],36,346
Fc1cccc2c1OBO2,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],29.2,347
F[B-](F)(F)c1ccc(I)cc1.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.5,351
OB(O)c1c(F)cc(F)cc1F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],27.76,353
Fc1ccccc1[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.01,355
Fc1ccccc1[B-](F)(F)F.[K+],CD3CN,[2H]C([2H])([2H])C#N,3.42,355
Fc1cccc([B-](F)(F)F)c1.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.25,356
Fc1cccc([B-](F)(F)F)c1.[K+],CD3CN,[2H]C([2H])([2H])C#N,3.26,356
Fc1ccc([B-](F)(F)F)cc1.[K+],CD3CN,[2H]C([2H])([2H])C#N,3.7,357
OB(O)c1c(F)cccc1F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],28.06,360
FB(F)c1ccccc1.[Cs+].[F-],CD3CN,[2H]C([2H])([2H])C#N,5.4,362
OB(O)c1ccc(F)cc1,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],28.53,364
[BH2-]1Sc2ccccc2S1.[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-11,367
C#CB1NB(C#C)NB(C#C)N1,CDCl3,[2H]C(Cl)(Cl)Cl,24.6,368
C[NH+](C)[B-](C(F)(F)F)(C(F)(F)F)C(F)(Br)C(F)(F)Br,CD3CN,[2H]C([2H])([2H])C#N,-9.7,369
C[NH+](C)[B-](C(F)=C(F)F)(C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-11.1,371
C[NH+](C)[B-](C(F)(F)F)(C(F)(F)F)C1(F)OC1(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-12.1,372
C[B-](C)([n+]1cc[nH]c1Br)[n+]1cc[nH]c1Br.[Cl-],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-8,374
C[B-](C)([n+]1cc[nH]c1Br)[n+]1cc[nH]c1Br.C[NH+](C)[B-](C(=O)C(=O)O)(C(F)(F)F)C(F)(F)F.[Cl-],CD3CN,[2H]C([2H])([2H])C#N,-10.8,375
C[NH+](C)C.FC(F)(F)[B-]1(C(F)(F)F)CCCCO1,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-8,376
C[NH+](C)[B-](S(=O)/N=C/C(F)(F)F)(C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-4.5,377
C[N+]1([BH-](C#N)C(=O)O)C=CN=C1,D2O,[2H]O[2H],-18.8,379
CCCCC#C[B-](F)(F)F.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-1.8,383
COC(=O)/C=C/CC[B-](F)(F)F.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],3.26,384
COC(=O)/C=C/CC[B-](F)(F)F.[K+],CDCl3,[2H]C(Cl)(Cl)Cl,3.38,384
C[N+](C)(C)[B-](C#N)(C#N)C#N,CDCl3,[2H]C(Cl)(Cl)Cl,8.54,386
C[N+](C)(C)[B-](C(=O)O)(C(F)(F)F)C(F)(F)F,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-10.8,388
CC/C(I)=C(\CC)B(I)I,CDCl3,[2H]C(Cl)(Cl)Cl,40,389
CC/C(I)=C(/CC)B(I)I,CDCl3,[2H]C(Cl)(Cl)Cl,43.5,390
[BH3-][NH2+]c1ccccc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-16.2,391
S=C1SCCN1[BH2-]N1CCSC1=S.[Na+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],32.3,392
CC/C(B(I)I)=C(\CC)B(I)I,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],11.8,393
CCCC/C=C\B(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,23.76,395
CCCC/C=C/B(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,23.76,396
CCS(=O)(=O)N1S(=O)[N+](C)(C)[B-]1(C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-3,399
[BH3-][NH2+]Nc1ccccc1,CD2Cl2,[2H]C([2H])(Cl)Cl,-17.9,400
N#C[BH-](C(=O)O)[NH+]1CCOCC1,D2O,[2H]O[2H],-16.3,401
C[N+](C)(C)[B-](Br)(Br)C(=O)OCC(F)(F)F,D2O,[2H]O[2H],19.08,402
ClB1CCCCCC1,CDCl3,[2H]C(Cl)(Cl)Cl,79,404
CC1(C)OB(Cl)OC1(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,21,405
C[N+](C)(C)[B-](C(Cl)Cl)(C(Cl)Cl)C(Cl)Cl,CDCl3,[2H]C(Cl)(Cl)Cl,-4,406
CC[NH+](CC)[BH-](C(F)(F)F)C(F)(F)F,CDCl3,[2H]C(Cl)(Cl)Cl,-12.6,407
C=CB1NB(C=C)NB(C=C)N1,CDCl3,[2H]C(Cl)(Cl)Cl,31.2,410
C[N+](C)(C)[B-](Br)(Br)C(=O)OCCCl,CDCl3,[2H]C(Cl)(Cl)Cl,0.79,412
[BH3-][n+]1cn(C)c(C)c1C,CDCl3,[2H]C(Cl)(Cl)Cl,-20.9,413
CC[NH+](CC)[BH-](C#N)C(=O)O,D2O,[2H]O[2H],-17.6,414
COC(=O)[BH-](C#N)[N+](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-12.4,415
CC1(C)OBOC1(C)C,d8-Toluene,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],28.4,416
[BH2-]1CCCCCC1.[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-16.4,418
CCOC(=O)[B-](Br)(Br)[N+](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,0.93,419
COC(=O)[BH-](C(Cl)Cl)[N+](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-4.5,420
COC(=O)[B-](Cl)(CCl)[N+](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,0,421
CC(B(Cl)C(C)[Si](C)(Cl)Cl)[Si](C)(Cl)Cl,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],69.4,422
CC(C)N(B(I)I)C(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-1,423
[BH3-]N1[C]N(C)C(C)=C1C.[Li+],C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-21.1,424
CC(C)C([NH2+][BH2-]C#N)C(N)=O,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-25.2,425
CC(O)C[N+](C)(C)[BH2-]C#N,CDCl3,[2H]C(Cl)(Cl)Cl,-10.56,430
CC(C)C(C(N)=O)[N+](C)(C)[BH2-]C(=O)O,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-26.3,431
[BH3-][N@+]12C[N@]3C[N@@](C1)C[P@@](=O)(C3)C2,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-12.2,432
[BH3-][N@+]12C[N@]3C[N@](C[P@@](C3)C1)C2,CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-10.55,433
CCCCB(OS(C)(=O)=O)OS(C)(=O)=O,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],26,437
BN(C(C)C)C(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,35,438
BN(C(C)C)C(C)C,d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],35,438
N#C[BH2-][NH2+]CCCC[NH2+][BH2-]C#N,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],24.4,440
[BH3-]N(C(C)C)C(C)C.[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-23.64,442
[BH3-][NH+](CCC)C(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-18.32,445
[BH3-][N+](C)(C)C(C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,-13.24,446
[BH3-][N+]1(C)CN(C)CN(C)C1,CDCl3,[2H]C(Cl)(Cl)Cl,-12.6,447
C[Si](Cl)(Cl)CB1NB(C[Si](C)(Cl)Cl)NB(C[Si](C)(Cl)Cl)N1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],34.1,449
CCOCC.CC[O-].[BH4-].[Mg+2],C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-42.6,451
CC[O-].COCCOC.[BH4-].[Mg+2],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-41.2,452
CO[P+]([BH2-][P+](OC)(OC)OC)(OC)OC.F[B-](F)(F)F,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-1.22,455
[Li]N1B(N(C)C)NB(N(C)C)NB1N(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],26.2,456
CC([SiH3])B(CC[SiH3])C(C)[SiH3],C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],79.7,458
[BH3-][N@+]1(C)CN(C)C[N@@+]([BH3-])(C)C1,CDCl3,[2H]C(Cl)(Cl)Cl,-10,459
CN(C)B1NB(N(C)C)NB(N(C)C)N1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],26.2,460
[2H]C([2H])([2H])OB1Oc2ccccc2O1,CD3OD,[2H]OC([2H])([2H])[2H],19,469
O=Cc1ccccc1[B-](F)(F)F.[K+],d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],6.94,472
O=Cc1cccc([B-](F)(F)F)c1.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.39,473
CCCC[N+](CCCC)(CCCC)CCCC.O=Cc1ccc([B-](F)(F)F)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,3.34,474
CCCC[N+](CCCC)(CCCC)CCCC.O=Cc1ccc([B-](F)(F)F)cc1,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1.67,474
F[B-](F)(F)c1ccccc1CCl.[K+],CD3COCD3,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.6,475
