Smiles,solvent,B_count,ppm_values
CCCCCC/C(=C\B1OC(C)(C)C(C)(C)O1)[Si](C)(C)OC(C)C,[2H]C(Cl)(Cl)Cl,1,29.3
CCCCCCCC/C(=C/B1OC(C)(C)C(C)(C)O1)[Si](C)(C)OC(C)C,[2H]C(Cl)(Cl)Cl,1,29.7
CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)CCO[Si](C)(C)C(C)(C)C,[2H]C(Cl)(Cl)Cl,1,29.2
CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)CCCCl,[2H]C(Cl)(Cl)Cl,1,30.6
CC(C)[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,29.8
CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)C1CCCCC1,[2H]C(Cl)(Cl)Cl,1,30.1
CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)C(C)(C)C,[2H]C(Cl)(Cl)Cl,1,30.5
O=C([O-])C(F)(F)F.OB(O)C[C@H]1CCC[NH2+]1,[2H]C(Cl)(Cl)Cl,1,30.6
OB(Cl)C[C@H]1CCC[NH2+]1,[2H]O[2H],1,30.7
CC(C)(O)C(C)(C)O.OB(Cl)C[C@H]1CCC[NH2+]1,[2H]C(Cl)(Cl)Cl,1,32.1
OB(Br)C[C@H]1CCC[NH2+]1,[2H]C(Cl)(Cl)Cl,1,30.2
OB(I)C[C@H]1CCC[NH2+]1,[2H]C(Cl)(Cl)Cl,1,30.2
[BH3-]c1n(-c2c(C)cc(C)cc2C)cc[n+]1-c1c(C)cc(C)cc1C,[2H]C(Cl)(Cl)Cl,1,-38.3
[BH3-]c1n2c(c3[n+]1[C@@H](C(C)C)CO3)OC[C@@H]2C(C)C,[2H]C(Cl)(Cl)Cl,1,-37.9
[BH3-]c1n2c(c3[n+]1[C@@H](C(C)(C)C)CO3)OC[C@@H]2C(C)(C)C,[2H]C(Cl)(Cl)Cl,1,-35.2
[BH3-]c1n2c(c3[n+]1[C@@H]1c4ccccc4C[C@H]1O3)O[C@@H]1Cc3ccccc3[C@@H]12,[2H]C(Cl)(Cl)Cl,1,-35.3
Cc1cc(C)c(-n2cc[n+](-c3c(C)cc(C)cc3C)c2[BH-]2C3CCCC2CCC3)c(C)c1,[2H]C(Cl)(Cl)Cl,1,-16.6
CC(C)[C@H]1COc2c3[n+](c([BH-]4C5CCCC4CCC5)n21)[C@@H](C(C)C)CO3,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],1,-19.1
