compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
11k,COC(=O)[C@@H](C)C(C=C(C)C)B1OC(C)(C)C(C)(C)O1,nchem.1150,128,[2H]C(Cl)(Cl)Cl,32.6
1b,O=C(/C=C/B1Nc2cccc3cccc(c23)N1)OCc1ccccc1Br,nchem.1150,160,[2H]C(Cl)(Cl)Cl,27.6
,CC1(C)OB([C@H](CC(=O)OCc2ccccc2Br)B2Nc3cccc4cccc(c34)N2)OC1(C)C,nchem.1150,160,[2H]C(Cl)(Cl)Cl,30.1
,COC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,nchem.1150,160,[2H]C(Cl)(Cl)Cl,33.2
S2,CC1(C)OB([C@@H](CC(=O)N2CCCC2)c2ccccc2)OC1(C)C,nchem.1150,128,[2H]C(Cl)(Cl)Cl,28
17a,CO[Si](C)(C)[C@@H](CCc1ccccc1)[C@H](C)B1OC(C)(C)C(C)(C)O1,nchem.2757,96,[2H]C(Cl)(Cl)Cl,33.58
13,COC[C@H]1CCCN1C[Si](C)(C)[C@@H](CCc1ccccc1)[C@H](C)B1OC(C)(C)C(C)(C)O1,nchem.2757,96,[2H]C(Cl)(Cl)Cl,33.34
14,CO[Si](C)(C)[C@@H](CCc1ccccc1)B1OC(C)(C)C(C)(C)O1,nchem.2757,96,[2H]C(Cl)(Cl)Cl,35.26
1a,Clc1cccc2c1[BH2-][n+]1ccccc1-2,s41467-022-30287-7,160,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-9.23
3a,Clc1cccc2c1[BH2-][n+]1cccc(C(c3ccccc3)c3ccccc3)c1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.48
3b,Fc1ccc(C(c2ccc(F)cc2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)cc1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.64
3c,Clc1ccc(C(c2ccc(Cl)cc2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)cc1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.24
3d,Clc1cccc(C(c2cccc(Cl)c2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)c1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.8
3e,COc1ccc(C(c2ccc(OC)cc2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)cc1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.51
3f,COc1cccc(C(c2cccc(OC)c2)c2ccc[n+]3c2-c2cccc(Cl)c2[BH2-]3)c1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,0
3g,Cc1cccc(C([BH-]2c3c(Cl)cccc3-c3cccc[n+]32)c2cccc(C)c2)c1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.55
3h,Clc1cccc2c1[BH-](C1c3cc(Br)ccc3-c3ccc(Br)cc31)[n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-1.48
3i,Clc1cccc2c1[BH-](C1c3ccccc3-c3ccccc31)[n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-1.09
3j,Clc1cccc2c1[BH-](C1c3ccccc3Sc3ccccc31)[n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,0.49
3l,Fc1cccc2c1[BH2-][n+]1cccc(C(c3ccccc3)c3ccccc3)c1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.97
3m,Brc1cccc2c1[BH2-][n+]1cccc(C(c3ccccc3)c3ccccc3)c1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.01
3o,Fc1ccc2c(c1Cl)[BH2-][n+]1cccc(C(c3ccccc3)c3ccccc3)c1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.49
3n,Fc1ccc(Cl)c2c1-c1c(C(c3ccccc3)c3ccccc3)ccc[n+]1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.29
3p,Clc1ccc2c(c1Cl)[BH2-][n+]1cccc(C(c3ccccc3)c3ccccc3)c1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.46
3q,Clc1cc(Cl)c2c(c1)-c1c(C(c3ccccc3)c3ccccc3)ccc[n+]1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.49
3r,Cc1ccc(Cl)c2c1-c1c(C(c3ccccc3)c3ccccc3)ccc[n+]1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-0.95
3s,c1ccc(C([BH-]2c3c(ccc4ccccc34)-c3cccc[n+]32)c2ccccc2)cc1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,0.3
5k,CCOC(=O)[C@@H]([B@H-]1c2c(OC(F)(F)F)cccc2-c2cccc[n+]21)c1ccccc1,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-2.45
1b,[BH2-]1c2ccccc2-c2cccc[n+]21,s41467-022-30287-7,160,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-9.05
1d,Clc1ccc2c(c1)-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,160,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-9.14
1e,Fc1cccc2c1-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-8.82
1f,Cc1cccc2[n+]1[BH2-]c1ccccc1-2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-9.64
1g,Cc1ccc2[n+](c1)[BH2-]c1ccccc1-2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-9.14
1h,Cc1cc[n+]2c(c1)-c1ccccc1[BH2-]2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-8.46
1i,Fc1cccc2c1[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-9.16
1j,Brc1cccc2c1[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-7.6
1k,Fc1ccc(Cl)c2c1-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.08
1p,[BH2-]1c2c(ccc3ccccc23)-c2cccc[n+]21,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-9.1
1l,Fc1ccc2c(c1Cl)[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.43
1m,Clc1ccc2c(c1Cl)[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.25
1n,Clc1cc(Cl)c2c(c1)-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-8.39
1o,Cc1ccc(Cl)c2c1-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.69
1q,Fc1ccc2c(c1)[BH2-][n+]1ccccc1-2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-8.3
1r,Cc1ccc2c(c1Cl)[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.34
1s,Clc1ccc(Cl)c2c1[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.51
1t,FC(F)(F)Oc1cccc2c1[BH2-][n+]1ccccc1-2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-8.77
1u,Cc1cc(C)c2c(c1)-c1cccc[n+]1[BH2-]2,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-8.58
1w,[BH2-]1c2sc3ccccc3c2-c2cccc[n+]21,s41467-022-30287-7,160,[2H]C(Cl)(Cl)Cl,-10.21
1x,Fc1ccc[n+]2c1-c1ccccc1[BH2-]2,s41467-022-30287-7,128,[2H]C(Cl)(Cl)Cl,-7.31
87a,CC1(C)OB([C@@H](Cc2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.27;33.68
87b,CC1(C)OB([C@H](Cc2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.27;33.68
88,Cc1ccc(C[C@@H](B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)cc1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.27;34.09
99,Cc1cccc(C[C@@H](B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)c1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.32;34.09
90,CCc1ccc(C[C@@H](B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)cc1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.45;34.09
91,CCCc1ccc(C[C@H](B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)cc1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.68;32.10
97,[2H]C(CCCc1ccccc1)B1Nc2cccc3cccc(c23)N1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,32.35
57,CC1(C)OB(C(Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.62;34.09
58,CC1(C)OB(C(Cc2ccc3ccccc3c2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.15;32.27
59,CC1(C)OB([C@H](CCCc2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.18;33.79
60,CC1(C)OB([C@H](CCc2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.23;34.02
61,CC1(C)OB([C@H](CC2CCCCC2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.26;34.14
62,CC1(C)OB([C@H](CC2CCCC2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.38;33.90
63,CC1(C)OB([C@H](CC2CC2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.58;34.03
64,CC(C)(C)C[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.35;34.06
65,CCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.66;34.34
66,CCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.80;33.92
67,CCCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.88;34.11
68,CCCCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.23;33.23
69,CCCCCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.45;34.19
70,CC(C)CCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.33;33.33
71,CC(C)(C)OC(=O)N1CCC(C[C@H](B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)CC1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.92;33.33
72,CC1(C)OB([C@H](CCCO[Si](C)(C)C(C)(C)C)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.08;33.91
73,CC1(C)OB([C@H](CCCCCO[Si](C)(C)C(C)(C)C)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.92;33.51
74,CC1(C)OB([C@H](CCCCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.42;34.10
75,CC(C)[Si](OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1)(C(C)C)C(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.32;33.75
76,CCC(=O)OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.34;34.09
77,C/C=C/C=C/C(=O)OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.45;33.68
78,CCCC(CCC)C(=O)OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.80;34.45
79,CC1(C)OB([C@H](CCCCOC(=O)c2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.92;32.98
,CC1(C)OB([C@H](CCCCOC(=O)c2ccc(C3CCCCC3)cc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.71;33.02
,C/C(=C\c1ccccc1)C(=O)OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,33.24;33.15
,C[C@@H](C(=O)OCCCC[C@H](B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1)c1ccccc1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.44;33.92
,CC(C)Cc1ccc([C@@H](C)C(=O)OCCCCC(B2Nc3cccc4cccc(c34)N2)B2OC(C)(C)C(C)(C)O2)cc1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.62;34.09
,COc1ccc2cc([C@@H](C)C(=O)OCCCCC(B3Nc4cccc5cccc(c45)N3)B3OC(C)(C)C(C)(C)O3)ccc2c1,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,34.62;33.51
,CC1(C)OB([C@H](CCCCOC(=O)[C@H]2C[C@@H]3C=C[C@H]2C3)B2Nc3cccc4cccc(c34)N2)OC1(C)C,s41467-022-31234-2,160,[2H]C(Cl)(Cl)Cl,35.22;34.45
(R)-3l,Cc1ccc(C)c(OCCCC(C)(C)C(=O)OCCCC[C@H](NC(=O)c2ccccc2)B2OC(C)(C)C(C)(C)O2)c1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.9
(R)-3m,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCCC[C@H](NC(=O)c2ccccc2)B2OC(C)(C)C(C)(C)O2)cc1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18
(R)-3n,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)CCCC[C@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.2
(R)-3o,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@H](OC(=O)CCCC[C@H](NC(=O)c3ccccc3)B3OC(C)(C)C(C)(C)O3)[C@H]2O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.7
(R)-3p,Cc1c(C)c2c(c(C)c1OC(=O)CCCC[C@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.2
,CCCCC[C@H](NC(=O)c1ccc(SC)cc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16.6
,CCCCC[C@H](NC(=O)c1ccc(NC(=O)OC(C)(C)C)cc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,15.5
,CCCCC[C@H](NC(=O)c1cccc2ccccc12)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,23.9
,CCCCC[C@H](NC(=O)c1ccc(Cl)cc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,19.1
,CCCCC[C@H](NC(=O)c1ccc(C(=O)OC)cc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,21.8
,CCCCC[C@H](NC(=O)c1ccsc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.3
,CCCCC[C@H](NC(=O)C=C(C)C)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,14.1
,CC(=O)N[C@@H](CCCCOCc1ccc2ccccc2c1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16.6
,CCCCCCCC(=O)N[C@@H](CCCCOCc1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16.6
,CCCCC[C@H](NC(=O)CCc1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,19.2
,CCCCC[C@H](NC(=O)CCc1ccc(C#N)cc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,23.7
,CCCCC[C@H](NC(=O)CCc1ccco1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,19.9
,CC1(C)OB([C@H](CCCCc2ccccc2)NC(=O)C2CC2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16.2
,CCCCC[C@H](NC(=O)C1CN(C(=O)OCc2ccccc2)C1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,27.9
,CC1(C)OB([C@H](CCCCOCc2ccccc2)NC(=O)C2CCCCC2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16
,CC(C)(C)C(=O)N[C@@H](CCCCOCc1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,15.8
,COC(=O)C12CC(C(=O)N[C@@H](CCCCc3ccccc3)B3OC(C)(C)C(C)(C)O3)(C1)C2,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,24.5
,CCCCC[C@H](NC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,22.4
,CCCCC[C@H](NC(=O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,20.8
,CCCCC[C@H](NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,21.9
3a,CCCCC[C@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.8
3b,CCCCCCC[C@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.3
3c,CC1(C)OB([C@H](CCCCc2ccccc2)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.2
3d,CC(C)C[C@H](NC(=O)c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.6
3e,CC1(C)OB([C@H](CC2CCCCC2)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.6
3f,CC1(C)OB([C@H](CCCCl)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,16.7
3g,CC1(C)OB([C@H](CCCCCl)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,17.6
3h,CC1(C)OB([C@H](CCCCO[Si](C)(C)C(C)(C)C)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.9
3i,CC1(C)OB([C@H](CCCCOCc2ccccc2)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.3
3j,CC1(C)OB([C@H](CCCCCOC(=O)c2ccccc2)NC(=O)c2ccccc2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,18.2
,CC1(C)OB([C@H](CC[C@@H](CC(=O)[O-])O[Si](C)(C)C(C)(C)C)NC(=O)Cc2cccs2)OC1(C)C,10-1038_s41467-022-33411-9,,[2H]C(Cl)(Cl)Cl,21.8
,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,10-1038_s41467-022-33411-9,,[2H]OC([2H])([2H])[2H],11.7
1f,CC1(C)OB(/C=C/CCCl)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,29.7
1l,Cc1ccc(C)c(OCCCC(C)(C)C(=O)OCCC/C=C/B2OC(C)(C)C(C)(C)O2)c1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,29.9
,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCC/C=C/B2OC(C)(C)C(C)(C)O2)cc1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,30.3
,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)CCC/C=C/B1OC(C)(C)C(C)(C)O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,29.9
,CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@H](OC(=O)CCC/C=C/B3OC(C)(C)C(C)(C)O3)[C@H]2O1,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,30
,Cc1c(C)c2c(c(C)c1OC(=O)CCC/C=C/B1OC(C)(C)C(C)(C)O1)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,29.9
,CC1(C)OB(/C=C/CCCOCc2ccc3ccccc3c2)OC1(C)C,10-1038_s41467-022-33411-9,160,[2H]C(Cl)(Cl)Cl,30
3a,COc1cccc(C2=Cc3ccccc3N(Cc3ccccc3)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,39.8
3ab,COc1cccc(C2=Cc3ccccc3N(Cc3ccc(C)cc3)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,40.5
3ac,COc1cccc(C2=Cc3ccccc3N(Cc3ccc(F)cc3)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,41
3ad,COc1cccc(C2=Cc3ccccc3N(Cc3ccc(Cl)cc3)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,41.7
3af,COc1cccc(C2=Cc3ccccc3N(Cc3cccs3)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,40.3
3ag,COc1cccc(C2=Cc3ccccc3N(C(C)C)B2c2c(OC)ccc3ccccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,39.1
3ah,COc1cccc(C2=Cc3ccccc3N(Cc3ccccc3)B2c2c(OC)ccc3cc(C)ccc23)c1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,40.9
1j-s,COc1ccc2ccccc2c1B1C=Cc2ccccc2N1Cc1cccs1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,38.58
1k,COc1ccc2ccccc2c1B1C(Br)=Cc2ccccc2N1C(C)C,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,37.9
1l,COc1ccc2cc(C)ccc2c1B1C(Br)=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,37.4
1k-s,COc1ccc2ccccc2c1B1C=Cc2ccccc2N1C(C)C,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,37.03
1l-s,COc1ccc2cc(C)ccc2c1B1C=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,38
1m-s,CCOc1ccc2ccccc2c1B1C=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,37.84
1m,CCOc1ccc2ccccc2c1B1C(Br)=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,38.22
1n-s,CCSc1ccc2ccccc2c1B1C=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,37.04
1n,CCSc1ccc2ccccc2c1B1C(Br)=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,160,[2H]C(Cl)(Cl)Cl,36.9
3b,COc1ccc(C2=Cc3ccccc3N(Cc3ccccc3)B2c2c(OC)ccc3ccccc23)cc1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,39.8
3c,COc1ccc2ccccc2c1B1C(c2ccc(SC)cc2)=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,40.9
3d,COc1ccc2ccccc2c1B1C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=Cc2ccccc2N1Cc1ccccc1,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,41.4
3e,COc1ccc(C2=Cc3ccccc3N(Cc3ccccc3)B2c2c(OC)ccc3ccccc23)cc1Cl,s41467-023-40164-6,128,[2H]C(Cl)(Cl)Cl,40.8
