compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
(R)-30b,CC(CB1OC(C)(C)C(C)(C)O1)(Cc1ccccc1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.9
(R)-31b,CC(CCc1ccccc1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.3
(R)-32b,CC(CCCc1ccccc1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.5
(R)-33b,CC(CCCCc1ccccc1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,33.8
(R)-33b,CC(CCCCCc1ccccc1)(CB1OC(C)(C)C(C)(C)O1)/C(=N/N1CCCCC1)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,34
36,CCCCCCC(C)(CB1OC(C)(C)C(C)(C)O1)C(=O)C(F)(F)F,10-1007_s11426-024-2106-3,128,[2H]C(Cl)(Cl)Cl,32.7
3aa,CC1(C)OB(CC=C2CCC(OCc3ccc(-c4ccccc4)cc3)CC2)OC1(C)C,10-1007_s11426-024-2315-1,128,[2H]C(Cl)(Cl)Cl,33.46
(Z)-3a,CCCCCC/C(=C/B1OC(C)(C)C(C)(C)O1)[Si](C)(C)OC(C)C,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,29.5
(E)-3a,CCCCCC/C(=C\B1OC(C)(C)C(C)(C)O1)[Si](C)(C)OC(C)C,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,29.3
(Z)-3c,CCCCCCCC/C(=C/B1OC(C)(C)C(C)(C)O1)[Si](C)(C)OC(C)C,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,29.7
(Z)-3d,CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)CCO[Si](C)(C)C(C)(C)C,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,29.2
(Z)-3f,CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)CCCCl,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,30.6
(Z)-3h,CC(C)[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)c1ccccc1,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,29.8
